"ID","Hospcode","Kpi Year","Kpi No","Kpi ID","Kpi Provcode","Kpi Order","Kpi Definition","Kpi A Value","Kpi B Value","Kpi C Value","Kpi D Value","Kpi E Value","Kpi F Value","Kpi Result","Kpi Result Q1","Kpi Result Q2","Kpi Result Q3","Kpi Result Q4","Kpi Condition","Kpi Formula","Kpi Sql","Update โดย","Last Update","Kpi A Value Q1","Kpi B Value Q1","Kpi C Value Q1","Kpi D Value Q1","Kpi E Value Q1","Kpi F Value Q1","Kpi A Value Q2","Kpi B Value Q2","Kpi C Value Q2","Kpi D Value Q2","Kpi E Value Q2","Kpi F Value Q2","Kpi A Value Q3","Kpi B Value Q3","Kpi C Value Q3","Kpi D Value Q3","Kpi E Value Q3","Kpi F Value Q3","Kpi A Value Q4","Kpi B Value Q4","Kpi C Value Q4","Kpi D Value Q4","Kpi E Value Q4","Kpi F Value Q4","แนบไฟล์","แนบรูปภาพกิจกรรม","Ref","แนบรายงาน Quick Win ไตรมาส 1","แนบรายงาน Quick Win ไตรมาส 2","แนบรายงาน Quick Win ไตรมาส 3","แนบรายงาน Quick Win ไตรมาส 4","Rep Q1","Rep Q2","Rep Q3","Rep Q4","Content Date","Note","Key"
"19878","43","2563","14","1496","56","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:13:39","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19879","44","2563","14","1496","57","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:13:42","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19880","45","2563","14","1496","58","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:13:45","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19881","46","2563","14","1496","60","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:13:49","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19882","47","2563","14","1496","61","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:13:52","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19883","48","2563","14","1496","62","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:13:55","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19884","49","2563","14","1496","63","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:13:58","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19885","50","2563","14","1496","64","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:14:53","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19886","51","2563","14","1496","65","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:14:55","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19887","52","2563","14","1496","66","-","-","0","1","0","0","0","0","0","-","-","-","-","-","-","-","4196","2020-02-20 16:14:59","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
